district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
汐止區,土地,北峰段1009地號,20.56,,山坡地保育區,殯葬用地,1110301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,53001,2578,,0,0,地清或未辦繼承標售；,RPVNMLMJLHHGFDF08EA,0,0,0,無
金山區,土地,永興段1814地號,42.43,農,,,1110302,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,80000,1885,,0,0,地清或未辦繼承標售；,RPQNMLOJLHHGFDF67DA,0,0,0,無
三芝區,土地,大湖段707地號,320.9,,山坡地保育區,丙種建築用地,1110301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,6140000,19134,,0,0,,RPTNMLSJLHHGFEF58EA,0,0,0,無
淡水區,車位,新北市淡水區民權路１９３之１號,1.72,商,,,1110302,土地1建物1車位1,一層,二十九層,其他,一般零售業,鋼筋混凝土造,1000613,24.96,0,0,0,有,有,1700000,,坡道平面,24.97,1700000,僅車位交易；,RPQOMLSKKHHGFEF28DA,0,0,0,有
新莊區,房地(土地+建物),新北市新莊區後港一路２８巷３弄１號,31.83,住,,,1110302,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790525,119.38,0,2,2,有,無,4257323,35662,,0,0,二親等間買賣，按土地公告現值及房屋評定現值為買賣價。親友、員工、共有人或其他特殊關係間之交易；其他增建；未登記建物；,RPXNMLMJLHHGFBF97DA,96.7,9.39,0,無
瑞芳區,房地(土地+建物),新北市瑞芳區明燈路三段２７號,46.39,住,,,1110301,土地1建物1車位0,全,二層,透天厝,商業用,加強磚造,,66.5,6,3,3,有,無,2400000,36090,,0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLSJLHHGFFF28DA,66.5,0,0,無
土城區,車位,新北市土城區學享街６０號,0.16,住,,,1110302,土地2建物1車位1,一層,十四層,其他,店鋪,鋼筋混凝土造,971111,20.48,0,0,0,有,有,1000000,,坡道機械,20.48,1000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPUOMLOJLHHGFAF87DA,0,0,0,有
三峽區,土地,東眼段東眼小段18-6地號,1002,,森林區,林業用地,1110301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,8200000,8184,,0,0,1.農地買賣2.本標的旁鄰地上有未保存登記建物一併移轉,RPVNMLSJLHHGFIF09DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區立人街１４巷１０號三樓之一,7.08,住,,,1110206,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860717,28.89,1,1,1,有,有,5350000,185185,,0,0,,RPWNMLLKKHHGFHF48EA,22.51,0,0,有
新莊區,土地,公正段208-4地號,10.93,都市：其他:道路用地,,,1110207,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1180000,107960,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXRMLOKKHHGFBF58DA,0,0,0,無
汐止區,房地(土地+建物),新北市汐止區秀峰路１０７號３樓,42.67,住,,,1110208,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,650608,71.16,2,1,1,有,無,5500000,77291,,0,0,含地政士服務費15000元；親友、員工、共有人或其他特殊關係間之交易；,RPPOMLSKKHHGFDF18EA,71.16,0,0,無
汐止區,土地,北峰段1112地號,2865.55,,山坡地保育區,林業用地,1110210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3468000,1210,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLOKKHHGFDF58EA,0,0,0,無
中和區,車位,新北市中和區中正路７９９號等公共設施,0,,,,1110207,土地0建物1車位1,,,其他,,,,32.4,0,0,0,有,有,2000000,,坡道平面,32.4,2000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPNMLPKKHHGFHF18EA,0,0,0,有
中和區,車位,新北市中和區中正路７９９號等公共設施,0,,,,1110207,土地0建物1車位1,,,其他,,,,32.4,0,0,0,有,有,2000000,,坡道平面,32.4,2000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPQNMLPKKHHGFHF28EA,0,0,0,有
瑞芳區,土地,四腳亭段楓子瀨小段19地號,13.58,,山坡地保育區,丙種建築用地,1110209,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,164348,12102,,0,0,,RPQNMLKKKHHGFFF57EA,0,0,0,無
新店區,車位,新北市新店區北宜路二段１２３號地下一層等共同使用,0.29,住,,,1110208,土地1建物1車位1,,,其他,,,,4.4,0,0,0,有,有,60000,,坡道平面,4.4,60000,機車位交易僅車位交易；,RPQRMLPKKHHGFCF18EA,0,0,0,有
汐止區,車位,新北市汐止區福安街４３號等公共設施,0,,,,1110210,土地0建物1車位1,,,其他,,,,30.2,0,0,0,有,有,1600000,,坡道平面,30.2,1600000,僅車位交易；,RPTOMLPKKHHGFDF18DA,0,0,0,有
土城區,房地(土地+建物)+車位,新北市土城區明德路一段２９１巷１５號五樓,20.1,住,,,1110205,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990323,114.32,1,1,1,有,有,8750000,76540,升降平面,55,0,,RPSPMLOKKHHGFAF77DA,35.08,0,5.76,有
五股區,土地,更寮段更寮小段2-17地號,33.06,,一般農業區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1500000,45372,,0,0,,RPRVMLLKKHHGFBF08DA,0,0,0,無
三芝區,房地(土地+建物),新北市三芝區淡金路二段８７巷１號二樓之１２,4.24,住,,,1110210,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870304,33.4,1,0,1,有,有,1225000,36677,,0,0,,RPOQMLQKKHHGFEF08DA,22.04,0,4.16,有
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路４０號二樓,6.42,住,,,1110210,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090624,56.71,2,2,1,有,有,5900000,104056,坡道平面,17.94,0,親友、員工、共有人或其他特殊關係間之交易；,RPQQMLQKKHHGFAF97EA,22.82,1.39,1.77,有
瑞芳區,土地,四腳亭段楓子瀨小段19地號,108.66,,山坡地保育區,丙種建築用地,1110209,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1314786,12100,,0,0,,RPRNMLKKKHHGFFF67EA,0,0,0,無
八里區,土地,龍米段104地號,2199,都市：其他:保護區,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10680000,4857,,0,0,地清或未辦繼承標售；,RPOOMLRKKHHGFEF08EA,0,0,0,無
中和區,土地,中安段367地號,3.2,都市：其他:道路用地,,,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,312000,97500,,0,0,包含公共設施保留地用地；,RPXNMLQKKHHGFHF09EA,0,0,0,無
永和區,土地,林森段735-2地號,18.78,都市：其他:道路用地,,,1110208,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2783280,148204,,0,0,僅土地交易包含公共設施保留地用地；,RPUOMLQKKHHGFHF88EA,0,0,0,無
永和區,土地,頂溪段694地號,4.64,都市：其他:道路用地,,,1110208,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,516366,111286,,0,0,包含公共設施保留地用地；,RPVOMLQKKHHGFHF98EA,0,0,0,無
萬里區,房地(土地+建物),新北市萬里區仁四街５號３樓,18.45,,鄉村區,乙種建築用地,1110209,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690627,63.65,3,2,1,有,無,1338000,21021,,0,0,,RPUOMLKKKHHGFDF77DA,60.13,0,3.52,無
汐止區,車位,新北市汐止區汐萬路二段２２８巷３１弄１號２樓,5.13,,山坡地保育區,丙種建築用地,1110210,土地1建物1車位1,一層，二層，地下一層,十五層,其他,停車空間,鋼筋混凝土造,850627,37.42,0,0,0,有,有,680000,,坡道平面,37.41,680000,僅車位交易；,RPROMLRKKHHGFDF18DA,0,0,0,有
瑞芳區,土地,明燈段580地號,67.1,住,,,1110207,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,5500000,81967,,0,0,未登記建物；,RPXNMLQKKHHGFFF78DA,0,0,0,無
淡水區,房地(土地+建物),新北市淡水區大忠街８５號四樓之３,5,住,,,1110210,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790828,28.88,1,1,1,有,有,1700000,58864,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLRKKHHGFEF18DA,16.8,0,3.23,有
